longitude,latitude,is_image
-121.9388227,37.4086584,
-121.9388227,37.4086584,
-121.939651,37.4089197,
-121.9411956,37.4113186,
-121.9463066,37.4093472,
-121.9412207,37.4112681,
-121.9412305,37.4113262,
-121.9414891,37.411705,
-121.9463066,37.4093472,
-121.9463066,37.4093472,
-121.9463066,37.4093472,
-121.9463066,37.4093472,
-121.9412384,37.4038882,
-121.9352103,37.3962493,
-121.9307647,37.3890919,
-121.929074,37.3873477,
-121.9168349,37.3707735,
-121.9098298,37.361259,
-121.9039357,37.3547089,
-121.9020076,37.3517002,
-121.8982686,37.3465369,
-121.8935459,37.3400564,
-121.8907464,37.3375922,
-121.8898156,37.3364393,
-121.8869935,37.3340117,
-121.8874256,37.3314473,
-121.8881099,37.3316236,
-121.8936087,37.3276132,
-121.8937182,37.3277192,
-121.8937393,37.3278726,
-121.8938488,37.3280445,
-121.8938899,37.3281904,
-121.8940864,37.3279916,
-121.894147,37.3279967,
-121.8943843,37.3279311,
-121.8945712,37.3278438,
-121.8947387,37.3277642,
-121.8949288,37.3276859,
-121.8951336,37.3275793,
-121.8954574,37.3274535,
-121.8957035,37.3273619,
-121.8958233,37.3273051,
-121.8959886,37.3271944,
-121.8961702,37.32708,
-121.896365,37.3270012,
-121.8964604,37.3269358,
-121.8966348,37.3268287,
-121.8968843,37.3266629,
-121.8970866,37.3265243,
-121.8972869,37.3263841,
-121.8974563,37.3263809,
-121.8976649,37.3264015,
-121.8978424,37.3263383,
-121.8979396,37.3262281,
-121.8981087,37.3261282,
-121.8982998,37.3259871,
-121.898507,37.3259033,
-121.8986925,37.3257841,
-121.8989057,37.3256546,
-121.8998358,37.32508259,
-121.8998358,37.32508259,
-121.8998358,37.32508259,
-121.8998358,37.32508259,
-121.9005762,37.3245465,
-121.9024624,37.3241155,
-121.9045214,37.3238477,
-121.9059727,37.3238388,
-121.9059975,37.3241428,
-121.9061343,37.3259124,
-121.9054746,37.326223,
-121.9027931,37.326233,
-121.9010372,37.3263786,
-121.9010246,37.3263786,
-121.8999466,37.3266438,
-121.8979714,37.3280647,
-121.8967309,37.3286609,
-121.8967353,37.3286655,
-121.8967384,37.3286669,
-121.8967385,37.3286632,
-121.8967348,37.3286638,
-121.8967201,37.3286656,
-121.8958936,37.3291111,
-121.8956453,37.3292464,
-121.8964474,37.3312436,
-121.8970115,37.3342458,
